app,func,end_timestamp,duration
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,3.466105,1.253
d9c9a39425c8044015e05eaf8330a6e48bad0e3edf1ec032098fb2c8b045c0b9,7fd157a7b694ec9235842e5191f04eb673f536c6f3bb37a9dc868eaeb977de9b,5.232472,0.607
cf54d1572c1d632986590f22a8313559a433bd667a10d3d3dae5912dcba6ea78,b259c1e9f9b5415e24c8b3e31485942012cde025f7115eb6c3b87d91de9ef892,5.578524,0.096
aa09fd0de23af2f42704ea3f7a832860e356cb21fbe99fb4c513e0ac64da3ce9,a7220d0ede28b7b3aa0f0607ca44f14e871e76cab8c30bfd0134e64230326622,23.621910,0.082
d9c9a39425c8044015e05eaf8330a6e48bad0e3edf1ec032098fb2c8b045c0b9,7fd157a7b694ec9235842e5191f04eb673f536c6f3bb37a9dc868eaeb977de9b,24.423470,1.118
d9c9a39425c8044015e05eaf8330a6e48bad0e3edf1ec032098fb2c8b045c0b9,7fd157a7b694ec9235842e5191f04eb673f536c6f3bb37a9dc868eaeb977de9b,24.689371,2.461
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,28.118556,1.568
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,518cd8f12974202d11b5a16a5437a6a560186fbe9584862c601084cbc18761c6,28.792165,0.332
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,5d5cbd388a16ee5f19e2c8c5df4ac7a74ad36fdc9b8a8b0489074a41d61b6884,31.712072,13.466
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,d92f8485c6246b3992a693f22bcc446a2f3d552d1b0cecc3fe637dec8f61e1ac,40.165732,18.596
d9c9a39425c8044015e05eaf8330a6e48bad0e3edf1ec032098fb2c8b045c0b9,7fd157a7b694ec9235842e5191f04eb673f536c6f3bb37a9dc868eaeb977de9b,44.938216,1.420
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,57.104922,0.904
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,57.884181,1.318
d9c9a39425c8044015e05eaf8330a6e48bad0e3edf1ec032098fb2c8b045c0b9,55b5c6b8e25e560a5244c522674fa8ad6f8dec1b83a702650726d57f2547c47c,64.208951,0.078
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,65.501542,0.441
d9c9a39425c8044015e05eaf8330a6e48bad0e3edf1ec032098fb2c8b045c0b9,55b5c6b8e25e560a5244c522674fa8ad6f8dec1b83a702650726d57f2547c47c,71.091497,0.087
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,5d5cbd388a16ee5f19e2c8c5df4ac7a74ad36fdc9b8a8b0489074a41d61b6884,72.146449,13.108
87b8ec9b41644a8b32cf64798ee6e0d8d7e5948575669ae9c5a8435a10813266,9d4311638952a6ecefb68603a4ade3f6aedf1ff5a2f359c67bbef939d6a2e6dc,73.690316,0.119
aa09fd0de23af2f42704ea3f7a832860e356cb21fbe99fb4c513e0ac64da3ce9,a7220d0ede28b7b3aa0f0607ca44f14e871e76cab8c30bfd0134e64230326622,74.002614,0.089
b2446308f35282348f1c6388346d932f610301eaa65bd0c283d8fb949d15e7cc,d206b500d8a622c7c6e606402b6f218d95ee19d6805d57bd7d6698351eea831a,74.541414,36.123
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,78.933870,0.491
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,83.416721,2.549
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,84.365826,0.638
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,91.980195,0.638
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,92.829274,0.680
87b8ec9b41644a8b32cf64798ee6e0d8d7e5948575669ae9c5a8435a10813266,b85146d6fb2fb1b37a7b668f36287a534543da7a2bc393eac28fd9e974908af0,92.919766,1.605
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,d92f8485c6246b3992a693f22bcc446a2f3d552d1b0cecc3fe637dec8f61e1ac,95.618529,36.708
d9c9a39425c8044015e05eaf8330a6e48bad0e3edf1ec032098fb2c8b045c0b9,55b5c6b8e25e560a5244c522674fa8ad6f8dec1b83a702650726d57f2547c47c,97.539424,0.042
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,d92f8485c6246b3992a693f22bcc446a2f3d552d1b0cecc3fe637dec8f61e1ac,106.289459,21.909
aa09fd0de23af2f42704ea3f7a832860e356cb21fbe99fb4c513e0ac64da3ce9,a7220d0ede28b7b3aa0f0607ca44f14e871e76cab8c30bfd0134e64230326622,107.065469,0.059
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,109.843677,1.532
aa09fd0de23af2f42704ea3f7a832860e356cb21fbe99fb4c513e0ac64da3ce9,a7220d0ede28b7b3aa0f0607ca44f14e871e76cab8c30bfd0134e64230326622,118.981429,0.029
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,5d5cbd388a16ee5f19e2c8c5df4ac7a74ad36fdc9b8a8b0489074a41d61b6884,121.427460,10.645
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,d92f8485c6246b3992a693f22bcc446a2f3d552d1b0cecc3fe637dec8f61e1ac,122.515692,37.012
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,5d5cbd388a16ee5f19e2c8c5df4ac7a74ad36fdc9b8a8b0489074a41d61b6884,124.146218,27.369
a279432833a21dc66309e252ef3f48f1ddc9eb706839d037a00b3f9f545c5e2d,7f0b52256911bed19622812b8483c07daf2e9103a269f567068ed939e33a2785,124.866737,1.550
e572651326f1337845b6b98e94175d4dc9ec1338a73d1ab7ac61170ccaf88297,d92f8485c6246b3992a693f22bcc446a2f3d552d1b0cecc3fe637dec8f61e1ac,125.451503,60.381
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,128.094140,0.326
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,132.390384,0.902
7475824cc4748c3fc8576d1ba486950f36d81d9cb5336cc1da801ef313b516d8,c8d99a8658319d5874fe33684bea9d87fab76b5593481d4d66145bec971607b3,133.422692,0.194
739faf50968804bd83adaade1c616b404ad02f354b6bb167295319b0ae5d9899,ca74b92087483a16a012c94b147c899e246570904c23a537cb8daeb2096ce52d,134.861565,2.335
